a	阿啊呵嗄吖锕腌
ai	隘愛呆皑瑷暧哎艾矮嗳锿嫒爱碍霭诶蔼埃挨癌嗌砹捱哀唉
an	按桉鹌氨暗犴铵揞岸胺埯案谙鞍黯庵俺安
ang	肮盎昂
ao	敖鏖坳懊傲獒鳌熬遨凹嗷袄廒骜媪鏊奥翱嚣螯澳聱拗岙
ba	吧笆拔叭茇捌扒把芭岜坝耙壩巴魃疤钯霸粑菝靶爸灞八罢鲅跋
bai	白稗伯呗掰败捭佰摆百拜柏
ban	绊癍班坂般办瓣斑颁舨伴板钣阪扳搬半扮拌瘢版
bang	傍膀浜榜镑蒡蚌绑帮梆棒磅邦谤
bao	煲葆褓雹龅褒瀑孢薄炮抱包刨鲍爆苞胞报宝趵剥豹鸨曝饱保堡暴
bei	钡背悲被鹎倍杯备陂悖卑北臂焙狈埤邶贝惫孛碑萆鐾碚鞴呗辈褙蓓
ben	夯笨畚本奔贲苯锛坌
beng	迸绷嘣甭蚌蹦甏崩泵
bi	庇愎比滗筚濞匕币篦铋薜壁秕秘哔襞痹鄙鼻狴荸俾弊毙笔臂毕庳辟蔽畀埤芘拂逼避璧婢碧毖闭蓖舭裨陛萆箅荜跸必妣嬖泌弼贲敝髀彼吡
bian	笾贬鳊辩辫遍煸褊边砭窆辨汴缏蝙编扁忭弁碥苄鞭卞便变匾
biao	飙瘭标彪婊骠鳔勺膘飚裱髟镳表杓飑镖
bie	別蹩别瘪憋鳖
bin	鬓彬宾滨镔濒髌豳缤傧斌膑摈玢殡槟
bing	炳丙饼槟秉邴屏禀摒柄病并冰兵
bo	啵饽伯膊播波钵渤跛擘玻薄舶拨泊魄鹁檗踣柏铂箔簸掰帛钹礴孛卜菠搏趵剥脖亳勃驳鲅博
bu	埔晡钸埠钚簿瓿补醭捕怖部卜哺布唔堡卟步不逋
ca	嚓拆礤擦
cai	彩菜裁材采猜才财蔡睬踩
can	璨参惭孱灿骖蚕粲惨餐黪残掺
cang	舱藏沧伧仓苍
cao	槽糙嘈艚曹螬漕操草
